Question,A,B,C,D,Answer
A revenue,occurs in connection with a company sending of an invoice.,is the value received for goods/services delivered in a certain time period.,occurs in connection with a company receiving cash payment.,is the value of resources consumed in a certain time period.,B
Activity based costing is,A very trivial calculation method,A calculation that is done three times in order to the result will be as correct as possible,A Calculation based on activities,A calculation that is being built up in three different steps,C
An investment is,A future payment,A receipt grater than the residual value,A Capital investment that provides future payments and receipts during up to one year,A capital investment that provides future payments and receipts for a period of more than one year,D
"An investment proposal's net present value (i.e. including all receipts and payments) has been calculated to SEK 500,000. The original investment is SEK 1,000,000 and the residual value is SEK 100,000. The net present ratio becomes:","0,1","0,5","0,2","0,45",B
"At the ""Break-even"" point",fixed costs and variable costs are equal,total revenues = 0,total costs are equal to fixed costs,total costs are equal to total revenues,D
"At the ""Critical volume""",The fixed costs are equal to the variable costs,The real volume is lower than the critical volume,The total costs are equal to the variable costs,The safety margin = 0,D
"At the ""Critical volume""",Total revenues < Total costs,Total revenues = Total costs,Total revenues > Total costs,Total revenues ≥ Total costs,B
"At the ""Critical volume""",The fixed costs are equal to the variable costs,The total revenues are 0,The total costs are equal to the fixed costs,The total costs are equal to the total revenues,D
Business overhead costs consist of,Sales & administrative overhead,Direct labour costs,Overhead costs for manufacturing,Direct sales costs,A
Contribution costing is an example of,A complete costing method,An incomplete way of costing,Activity based costing,Full costing,B
Contribution costing is used,Mainly for caluclations concerning the future resources of the company,Mainly for the company's existing resources,To identify company's resource requirements,None of A-C,B
Cost drivers are used in,Step costing,ABC,Full costing,Absorption costing,B
Cost of Production (CoP),dM + MO + dL + Mgo + Other direct manufacturing costs,dM + MO + dL + Mgo + S&A,dM + MO + dL + Mgo + Special direct sales costs,(dM + MO + dL + Mgo) / S&A,A
Costs associated with the sales process are examples of,Direct costs,Type of cost,Cost unit,Overhead costs,D
Costs for work performed for the product are examples of,Indirect costs,Type of cost,Cost unit,Overhead costs,B
Costs that are not affected by a particular decision are called,Full costs,Common costs,Specific costs,Step costs,B
Direct costs,Are transferred directly to the cost centers,Are e.g. material costs,Can also be called overhead costs,Are costs that cannot be transferred to a specific cost unit,B
